timestamp,equipment_id,equipment_name,log_type,severity,temperature,vibration,pressure,rpm,message,operator,shift
2026-01-03 11:30:00,EQ-005,Compressor Unit D2,maintenance,critical,92.0,4.5,175.0,3200,VIBRATION CRITICAL - Compressor showing severe vibration. Bearing replacement scheduled urgently.,Tom Wilson,morning
2026-01-03 14:00:00,EQ-004,Industrial Robot Arm R1,operational,warning,58.0,0.8,31.5,1980,Slight deviation in positioning accuracy. Recalibration recommended within 24hrs.,Lisa Chen,afternoon
2026-01-03 15:00:00,EQ-007,Packaging Machine P1,operational,info,42.0,0.6,25.0,600,Packaging line running smoothly. Box count on target.,David Lee,afternoon
2026-01-03 16:00:00,EQ-002,Hydraulic Press Beta,operational,warning,73.5,1.8,118.0,790,Pressure fluctuation noticed during heavy load cycle. Hydraulic fluid level checked - slightly low.,Maria Garcia,afternoon
2026-01-04 07:30:00,EQ-001,CNC Machine Alpha,maintenance,info,35.0,0.2,0.0,0,Spindle bearing replaced. Machine undergoing testing before return to production.,Robert Taylor,morning
2026-01-04 08:00:00,EQ-003,Conveyor Belt C1,maintenance,critical,48.0,4.2,0.0,280,BELT MISALIGNMENT - Conveyor stopped. Emergency realignment in progress. Expected downtime: 4 hours.,Ahmed Hassan,morning
2026-01-04 09:00:00,EQ-005,Compressor Unit D2,maintenance,info,45.0,0.5,0.0,0,Compressor offline for bearing replacement. Parts ordered - ETA 2 days.,Tom Wilson,morning
2026-01-04 10:00:00,EQ-006,Welding Station W3,operational,warning,65.0,1.2,0.0,0,Electrode wear higher than expected. Replacement scheduled for next shift.,Mike Brown,morning
2026-01-04 11:00:00,EQ-001,CNC Machine Alpha,operational,info,70.0,0.7,45.0,1500,Machine returned to production after bearing replacement. All readings nominal.,Robert Taylor,morning
2026-01-04 14:00:00,EQ-004,Industrial Robot Arm R1,maintenance,warning,56.0,1.0,30.5,1950,Robot recalibrated. Minor servo drift detected in joint 3. Monitoring recommended.,Lisa Chen,afternoon
2026-01-04 15:30:00,EQ-002,Hydraulic Press Beta,maintenance,warning,70.0,1.5,122.0,800,Hydraulic fluid topped up. Pressure readings normalized. Filter replacement due in 500 cycles.,Maria Garcia,afternoon
2026-01-04 16:00:00,EQ-007,Packaging Machine P1,operational,warning,48.0,1.1,26.0,580,Slight decrease in packaging speed. Sensor alignment check needed.,David Lee,afternoon
2026-01-05 08:00:00,EQ-001,CNC Machine Alpha,operational,info,71.0,0.8,45.0,1500,Post-repair operation stable. Temperature and vibration within normal range.,John Smith,morning
2026-01-05 09:00:00,EQ-008,Cooling Tower CT1,operational,info,22.0,0.3,15.0,400,Cooling system operating normally. Water temperature at setpoint.,Karen White,morning
2026-01-05 10:00:00,EQ-003,Conveyor Belt C1,operational,info,44.0,1.5,0.0,310,Conveyor back online after realignment. Running at 95% capacity during monitoring period.,Ahmed Hassan,morning
2026-01-05 11:00:00,EQ-009,Lathe Machine L2,operational,info,60.0,0.9,0.0,2200,Lathe operating normally. Surface finish quality within spec.,James Anderson,morning
2026-01-05 14:00:00,EQ-004,Industrial Robot Arm R1,operational,info,55.5,0.4,30.0,2000,Robot arm operating normally after recalibration. All axes within tolerance.,Lisa Chen,afternoon
2026-01-05 15:00:00,EQ-002,Hydraulic Press Beta,operational,info,69.0,1.2,121.0,800,Press operating normally. Cycle time and pressure readings stable.,Maria Garcia,afternoon
2026-01-05 16:00:00,EQ-006,Welding Station W3,maintenance,info,38.0,0.4,0.0,0,Electrode replaced. Weld quality test passed. Station ready for next shift.,Mike Brown,afternoon
2026-01-06 07:00:00,EQ-010,Air Handler AH1,operational,info,24.0,0.2,12.0,1800,HVAC system running normally. Plant temperature maintained at setpoint.,Karen White,morning
2026-01-06 08:30:00,EQ-001,CNC Machine Alpha,operational,info,72.0,0.9,45.5,1510,Stable operation continues. Scheduled preventive maintenance due in 200 hours.,John Smith,morning
2026-01-06 09:00:00,EQ-009,Lathe Machine L2,operational,warning,68.0,1.5,0.0,2180,Chuck vibration slightly elevated. Tool holder tightness check recommended.,James Anderson,morning
2026-01-06 10:30:00,EQ-005,Compressor Unit D2,maintenance,info,42.0,0.4,0.0,0,New bearings installed. Compressor undergoing balance testing before restart.,Tom Wilson,morning
2026-01-06 12:00:00,EQ-008,Cooling Tower CT1,operational,warning,26.0,0.5,14.5,380,Water flow rate slightly below optimal. Pump inspection recommended.,Karen White,morning
2026-01-06 14:00:00,EQ-005,Compressor Unit D2,operational,info,55.0,0.6,178.0,3400,Compressor back online. Running smoothly with new bearings. All readings nominal.,Tom Wilson,afternoon
2026-01-06 15:00:00,EQ-007,Packaging Machine P1,operational,info,43.0,0.7,25.0,600,Packaging line running at full capacity. Sensor realigned - speed normalized.,David Lee,afternoon
2026-01-06 16:30:00,EQ-002,Hydraulic Press Beta,operational,warning,75.0,2.0,117.5,785,Temperature trending upward. Hydraulic fluid degradation suspected. Oil analysis sample taken.,Maria Garcia,afternoon
2026-01-07 07:30:00,EQ-001,CNC Machine Alpha,operational,info,71.5,0.8,45.0,1500,Normal startup. All systems nominal.,John Smith,morning
2026-01-07 08:00:00,EQ-002,Hydraulic Press Beta,maintenance,warning,71.0,1.6,119.0,795,Oil analysis results: contamination level approaching limit. Fluid change recommended within 100 cycles.,Maria Garcia,morning
2026-01-07 09:00:00,EQ-009,Lathe Machine L2,maintenance,warning,65.0,2.0,0.0,2150,Chuck vibration increasing. Tool holder replaced. Monitoring for improvement.,James Anderson,morning
2026-01-07 10:00:00,EQ-003,Conveyor Belt C1,operational,info,43.5,1.2,0.0,315,Conveyor running at full capacity. Post-repair monitoring complete - all clear.,Ahmed Hassan,morning
2026-01-07 11:00:00,EQ-010,Air Handler AH1,operational,warning,28.0,0.8,11.0,1750,Filter pressure drop increasing. Filter replacement due soon.,Karen White,morning
2026-01-07 14:00:00,EQ-004,Industrial Robot Arm R1,operational,info,55.0,0.3,30.0,2000,Robot operating at full efficiency. Zero defects in current production run.,Lisa Chen,afternoon
2026-01-07 15:00:00,EQ-006,Welding Station W3,operational,info,52.0,0.6,0.0,0,Welding quality consistent. New electrode performing well.,Mike Brown,afternoon
2026-01-07 16:00:00,EQ-008,Cooling Tower CT1,maintenance,info,23.0,0.3,15.0,400,Pump impeller cleaned. Flow rate restored to optimal level.,Karen White,afternoon
2026-01-08 08:00:00,EQ-001,CNC Machine Alpha,operational,warning,76.0,1.2,46.0,1520,Slight temperature elevation noted. Pattern similar to pre-failure signature from Jan 2-3. Close monitoring initiated.,John Smith,morning
2026-01-08 09:00:00,EQ-002,Hydraulic Press Beta,maintenance,critical,78.0,2.5,115.0,770,HYDRAULIC FLUID CHANGE REQUIRED - Contamination at critical level. Press performance degrading. Schedule immediate fluid change.,Maria Garcia,morning
2026-01-08 10:00:00,EQ-009,Lathe Machine L2,operational,warning,70.0,2.2,0.0,2100,Vibration not improved after tool holder change. Spindle bearing inspection recommended.,James Anderson,morning
2026-01-08 11:00:00,EQ-010,Air Handler AH1,maintenance,warning,30.0,1.0,10.0,1700,FILTER CHANGE - Pressure drop at limit. Filters being replaced. HVAC at 80% capacity during change.,Karen White,morning
2026-01-08 14:00:00,EQ-001,CNC Machine Alpha,operational,warning,79.5,1.6,46.5,1510,Temperature continuing upward trend. Coolant system check completed - flow rate 5% below spec. Adjustment made.,John Smith,afternoon
2026-01-08 15:00:00,EQ-007,Packaging Machine P1,maintenance,warning,50.0,1.5,27.0,560,Packaging quality declining. Seal temperature sensor drift detected. Calibration needed.,David Lee,afternoon
2026-01-08 16:00:00,EQ-005,Compressor Unit D2,operational,info,56.0,0.7,179.0,3400,Post-repair operation continues to be stable. Performance metrics excellent.,Tom Wilson,afternoon
2026-01-09 07:00:00,EQ-002,Hydraulic Press Beta,maintenance,info,65.0,1.0,0.0,0,Hydraulic fluid change in progress. Expected completion by noon. Press offline.,Maria Garcia,morning
2026-01-09 08:00:00,EQ-001,CNC Machine Alpha,operational,info,73.0,0.9,45.5,1500,Temperature stabilized after coolant adjustment. Continuing to monitor.,John Smith,morning
2026-01-09 09:30:00,EQ-009,Lathe Machine L2,maintenance,critical,72.0,3.0,0.0,2050,SPINDLE BEARING DEGRADATION confirmed via vibration analysis. Replacement scheduled. Machine limited to 50% load.,James Anderson,morning
2026-01-09 10:00:00,EQ-003,Conveyor Belt C1,operational,info,44.0,1.0,0.0,315,Conveyor stable. Preventive lubrication completed on schedule.,Ahmed Hassan,morning
2026-01-09 12:00:00,EQ-002,Hydraulic Press Beta,maintenance,info,60.0,0.8,120.0,0,Fluid change complete. System primed and pressure tested. Ready for production trials.,Maria Garcia,morning
2026-01-09 14:00:00,EQ-002,Hydraulic Press Beta,operational,info,67.0,1.1,121.5,810,Press returned to production. New fluid performing well. All parameters within spec.,Maria Garcia,afternoon
2026-01-09 15:00:00,EQ-004,Industrial Robot Arm R1,operational,warning,59.0,0.9,31.0,1970,Minor hesitation detected in joint 2 servo. Lubrication cycle initiated automatically.,Lisa Chen,afternoon
2026-01-09 16:00:00,EQ-010,Air Handler AH1,operational,info,24.5,0.3,12.5,1800,New filters installed. HVAC back to 100% capacity. Air quality readings excellent.,Karen White,afternoon
2026-01-10 08:00:00,EQ-001,CNC Machine Alpha,operational,info,71.0,0.8,45.0,1500,All readings stable. Preventive maintenance window approaching - scheduled for Jan 15.,John Smith,morning
2026-01-10 09:00:00,EQ-009,Lathe Machine L2,maintenance,info,40.0,0.3,0.0,0,Lathe offline for spindle bearing replacement. Parts on hand. Expected completion: 6 hours.,James Anderson,morning
2026-01-10 10:00:00,EQ-006,Welding Station W3,operational,warning,68.0,1.5,0.0,0,Power supply showing intermittent voltage fluctuations. UPS check recommended.,Mike Brown,morning
2026-01-10 11:00:00,EQ-005,Compressor Unit D2,operational,info,54.0,0.6,180.0,3450,Compressor running optimally. Scheduled filter change coming up in 100 hours.,Tom Wilson,morning
2026-01-10 14:00:00,EQ-007,Packaging Machine P1,operational,info,44.0,0.7,25.5,600,Seal sensor recalibrated. Packaging quality restored to 99.8% acceptance rate.,David Lee,afternoon
2026-01-10 15:00:00,EQ-009,Lathe Machine L2,maintenance,info,38.0,0.2,0.0,0,Spindle bearing replacement complete. Running balance test and calibration.,James Anderson,afternoon
2026-01-10 16:00:00,EQ-008,Cooling Tower CT1,operational,info,22.5,0.3,15.0,400,Cooling tower operating efficiently. Chemical treatment maintained at optimal levels.,Karen White,afternoon
2026-01-10 17:00:00,EQ-009,Lathe Machine L2,operational,info,58.0,0.7,0.0,2200,Lathe back online. Test pieces within tolerance. Ready for production.,James Anderson,afternoon
